类别,子类别,问题,答案
账户及会员,账户资产,什么是运费券？,运费券，即可用于京东自营商品订单（虚拟商品、沃尔玛京东自营官方旗舰店商品及部分特殊购物流程不可使用，特殊流程如秒杀、夺宝岛等）抵减运费的优惠券。客户可通过PLUS会员权益等方式获得此优惠券。提交订单时，使用商品促销优惠后以及东券扣减后实付金额计算运费门槛，如不满99元则需支付运费。例如：客户购买商品A，A促销后金额为100元。用户使用一张100-5元东券，则东券扣减后商品实付金额为95元，不满99元需要支付运费。运费券的使用规则是什么？ 详见链接：https://help.jd.com/user/issue/169-344.html2019-05-15
特色服务,价格保护,第三方卖家商品是否参加价格保护？,商品详情页带有“7天价保”/“15天价保”/“30天价保”/“90天价保”服务标识的第三方卖家商品参加价格保护，您可以通过电脑端京东或APP客户端“价格保护”入口查看订单是否支持价格保护。具体介绍可查看第三方卖家商品价保服务2021年5月14日
特色服务,拍卖业务,怎么查询我的获拍？,正在进行的拍卖，您可在拍卖频道页右上方“我的获拍-我的竞拍”中查询拍品状态；已拍得的拍品，您可在拍卖频道页右上方“我的获拍-我的获拍”查询拍品状态。2016-02-04
售后服务,售后政策（三方）,彩票、旅行、充值、票务类商品退换货细则（三方）,不适用于7天无理由退货注意事项：1.机票类按照各航空公司规定执行，如需退改签可拨打京东机票热线：4006115718或联系相应航空公司客服办理；2.彩票，票务类商品一经售出，不予退换；3.移动/联通/电信充值类不予退换货。2017-04-17
售后服务,售后常见问题,储存类商品（手机、PC等）在返回京东保修检测的时候，设备中的数据怎么办？,1、在提供维修服务的过程中，服务产品中的数据和软件有丢失、损坏或被格式化的可能。在您将需服务的产品送修前，请自行备份产品中存储的所有数据和软件，移除任何移动式存储介质，如存储卡或手机SIM卡等。京东对您的产品不提供数据存储服务，也不对您送修服务的产品中存储的任何数据或软件损坏或丢失负责。2、在检测或维修过程中，维修人员为检测故障，可能会有使用、查看您产品中的功能或软件的需要，例如：通讯录、相册、短信、操作系统、应用软件、文件管理器等，请您在送检或送修前自行将前述所涉及的个人数据删除，如您未将个人数据删除，将视为您同意维修人员因检测或维修目的无法避免的接触您的个人数据。我们对检测或维修中不可避免接触到的个人数据信息会进行保密。3、请您送修之前，将手机云服务的查找手机功能关闭，若查找手机功能处于开启状态，则无法对手机进行维修、退换等相关操作处理。针对小米手机，若您没有关闭手机云服务的查找手机功能，则京东会通过厂商关闭手机查找功能，此过程可能会抹除您商品中的全部个人数据，以保证您的个人信息安全。4、请您确认了解以上内容后提交服务单，提交服务单则默认并视为您已接受以上内容，谢谢。注：储存类商品包括且不限于以下图中的商品:
特色服务,拍卖业务,京东商城竞拍业务管理规范,京东商城竞拍业务管理规范 第一章  概述第一条  【目的】为维护京东平台的竞拍交易秩序，规范卖家开展竞拍业务及竞拍人的竞拍行为，保障竞拍人的合法权益，特制定本规范。第二条  【适用范围】本规范适用于开展竞拍业务的卖家和参与竞拍的竞拍人。
特色服务,自营放心购,什么是闪电退款服务?（自营商品）,服务介绍：闪电退款服务是为魔镜等级S2及以上的京东优质客户提供的售后特色服务，符合条件的退货申请在商品返回京东前（部分订单需在取/收件成功后）即进入退款流程，为客户节省了返回商品的物流等待时间和收货检测的处理时间（个别特殊类目和虚拟类目商品除外）；
特色服务,自营放心购,什么是仅退款不退货服务？（自营商品）,客户选购有“仅退款不退货”标识的自营商品，如在订单签收之日起的7天内，因京东原因导致损坏且无回收价值的商品，客户在线提交退货申请，审核通过后进入退款流程，直接为客户安排退款，无需客户返还商品（批量破损的商品不支持仅退款不退货服务）。
特色服务,知识产权维权,恶意投诉的权利人可能承担哪些责任？,根据相关法律规定，权利人因通知错误造成维权系统内经营者损害的，依法承担民事责任。恶意发出错误通知，造成维权系统内经营者损失的，加倍承担赔偿责任。2019-05-13
配送方式,配送服务查询,如何查询物流信息？,京东自营配送订单：您可以进入“我的订单”点击对应订单查询即可看到物流更新；第三方快递配送订单：您可以进入“我的订单”根据物流信息中的快递单号，登陆第三方快递官网查询。京东快递也可根据运单号点击链接查询http://www.jdwl.com/2017-03-03
购物指南,商品咨询,商品评价时间有要求吗？,您好，首次评价时间与追加评价时间均有时间限制。您可在商品订单完成后六十天内对商品发表首次评价。首次评价内容若符合京豆奖励规则您将获得对应的京豆奖励。若您六十天内没有做出评价，系统将自动匹配好评，但您仍可在订单完成后的一百八十天对商品发表追加评价。其中在订单完成后的90天内发表追加评价时，您可以选择是否对系统自动匹配好评的星级进行修改。若您修改系统将按照您修改后的内容展示。2018-05-22
特色服务,全球售业务,全球售业务物流问题,Q1: 什么是集运？
购物指南,商品咨询,京东有没有礼品包装服务？,为了响应广大消费者的需求，京东已经上线：即客户可以对有礼品购服务的商品选定特殊包装、给送礼人写贺卡等居多特色服务。点击查看礼品购服务2016-06-18
购物指南,生活旅行,充值发票制度,中国电信话费充值为充值卡直充，无法打印月结发票，可由充值商家提供定额及增值税普通发票，发票已商家实际提供为准，请充值前注意。中国联通&中国移动的话费充值，由于充值渠道不同，有的需要用户消费后到营业厅打印上月的实际消费发票，有的商家提供发票，具体请充值前咨询客服。因各运营商规定不同，充值前请咨询当地营业厅获取关于发票的政策，或拨打运营商客服电话咨询。2018-12-29
订单百事通,订单拆分,我的订单，为什么会被拆分？,订单拆分有以下几种情况：1.您所购买的商品库房分布不同；2.您所购买的商品发货方不同（第三方卖家或京东发货）；3.您选择了有货先发；如有疑问，您可以联系客服为您解答。2018-11-14
账户及会员,账户安全与账户信息,邮箱白名单设置,邮箱白名单设置收不到到邮件？请将 customer_service@jd.com 加入白名单网易邮箱白名单设置第一步：打开邮箱，点击网页上方的“设置”，如图1。
售后服务,退换货-返修申请,退换货-维修需要多长时间？,退货：自接收到问题商品日期起7日之内处理完成换货：自接收到问题商品之日起7日之内处理完成维修：自接收到问题商品之日起30日内处理完成注意事项该周期的起始时间以售后登记到货品之日起算的，需要检测的商品时间会相应延长7-15天。国家法定节假日，因部分品牌生产厂家的售后服务中心推迟提供服务，返修时间也相应延长。2017-04-17
购物指南,交易条款,京东承诺,京东承诺：
售后服务,售后政策（自营）,商品保修多久？,质保商品可在商品详情页>售后保障中查看，或您也可以在商品说明书中查看。2017-04-17
支付问题,在线支付,支付平台支持哪些平台支付？,2019-05-17
账户及会员,账户资产,如何可以领取、查看红包？,您可以通过参加京东相关活动等方式来领取红包（全渠道红包、渠道专享红包），具体红包领取/发放规则以实际活动规则为准。
支付问题,在线支付,什么是快捷支付？,快捷支付是一种安全、便捷的付款方式，只需要关联用户的银行卡，在支付时输入支付密码或短信验证码即可完成付款，无需使用网银。2019-12-10
配送方式,配送服务查询,我的运单号在哪里查询？,您好，查询京东快递运单号http://www.jdwl.com/， 同时也可以登录相关快递的官网进行查询。祝您购物愉快。2017-03-03
支付问题,在线支付,组合支付如果有部分金额支付失败怎么办？,如果有部分支付方式支付失败，您可以点击重新支付剩余金额，重新选择支付方式支付剩余未支付金额。
特色服务,自营放心购,什么是原厂上门检修服务？（自营商品）,客户选购有“原厂上门检修”标识的自营商品，如商品在三包期内出现性能故障，可以在线提交售后申请，由品牌商授权服务人员为客户提供上门检测服务，并根据检测结果为客户提供售后服务。
购物指南,购物流程,为什么我在商品详情页看到的预估到手价（优惠预估价）是XXX元，但是结算的时候，无法享受这个价格？,"预估到手价（优惠预估价）是以您浏览商品时，商品详情页展示的京东价/专属价（如：PLUS会员价、山姆会员价等）和优惠信息(包括已领取、未领取可使用【实际可领取】的优惠信息)为基础，实时计算更新的预估优惠价格，所以出现以上情况的原因可能有下面几种情况：1）因为区域等供求因素变动，所以不同区域价格不同, 最终优惠金额以您在结算页中显示的为准。2）可能存在您进入结算流程时商品价格或优惠信息发生变化，您可返回商品详情页再次确认，最终优惠金额以您在结算页中显示的为准。3）存在您在当前商品详情页没有领取对应的优惠券的情况，建议您重新返回商品详情页领取。4）存在您在购物车或结算页中调整了优惠使用的情况，建议您可按推荐的策略调整购物车或结算页选中的优惠信息。2020年5月28日"
售后服务,售后商品返回,退货时卖家让我把商品邮寄回去，在哪里能查看到返回邮寄地址？,"进入点击“查看返修/退换货”点击所申请商品后方""查看""进入后进行查看"
特色服务,京东试用中心,试用成功，不提交试用报告有什么影响？,如果试用成功后不提交试用报告，试用成功的京东账号，永久不再提供试用机会，此外，对于使用与前述账号相同的收货人、收货地址、联系电话、IP地址等任一信息的京东账号，京东亦有权不提供试用机会，所以且试用且珍惜哦！>>这里有很多试用商品2019-10-10
特色服务,大家电,京东送装一体服务介绍,一、什么是京东 “送装一体”服务您购买支持“送装一体”的商品，将由京东授权服务商提供送货到家及安装一站式服务。二、服务适用条件您购买带有“送装一体”标识的商品，将由安装工程师带货上门，提供送货、验机、安装、调试四步一体服务。            注意事项：如订单中既含有支持送装一体服务的商品，又含有不支持送装一体服务的商品，则有可能导致您不能享受送装一体服务。具体是否支持送装一体服务，以订单提交页面的展示信息为准。三、送装一体服务四、特别说明1.大件商品“送装一体”为收费服务，将由服务商向您收取费用（具体收费标准详见“五、大件商品送装一体收费标准”）。如特殊提供免费服务将在商品详情页说明。此外，因安装环境、服务需求不同，安装过程中需要使用超出机器包装中原厂配件以外的材料或特殊服务项目（远程费、高空作业费等）需单独收取费用，具体详见商品详情页展示的标准。2. 您下单后如更改收货地址、配送日期、安装日期等，则有可能因订单信息的改变导致无法享受送装一体服务；3. 如遇节假日、店庆日、网络故障等因素影响，将可能视情况暂停此项服务；4.如遇交通管制、特殊天气（如雨、雪、台风、地震等）、系统异常、疫情等特殊情况，将会影响送达时间；5. 由于业务发展变化、行政区域更名等情况，“送装一体”服务区域，会不定期更新，具体请以您下单时商品详情页展示的信息为准。五、大件商品送装一体收费标准目前支持送装一体的大件商品为电视机、洗衣机品类下的部分商品。电视机收费标准如下：电视机尺寸座装服务（单位：元）挂装服务（不含挂架，单位：元）挂装服务（含挂架，单位：元）42寸及以下30508043-55寸407010058-65寸409014070-75寸6014024077-90寸90190300洗衣机收费标准如下：服务项目单价（单位：元）
特色服务,京东E卡,为什么使用京东E卡支付输入密码点击确定没有反应？,为了保障您的资金安全，使用京东E卡的前提是必须开启支付密码，因此，若页面无反应可能是由于您的账户暂未开启支付密码，您需先开启支付密码再使用（请到“我的京东>账户中心>账户安全”中开启支付密码）。2019-07-19
特色服务,知识产权维权,知识产权维权指引,投诉方被投诉方什么是知识产权维权收到投诉后如何处理如何发起知产投诉如何申诉如何查看投诉进程和处理结果申诉举证期限如何撤销知产投诉被投诉链接是否还可以恢复上架恶意投诉的权利人可能承担哪些责任侵犯知识产权会对被投诉人进行哪些处罚如何解绑维权账号绑定的手机号码何人有权发起知产投诉
支付问题,扫码支付,扫码支付说明,京东扫码支付分为扫二维码支付和扫条形码支付两种：1、扫二维码支付：（1）京东配送员配送上门的货到付款订单，用户可通过京东APP客户端、京东金融APP客户端以及有扫一扫功能的APP，扫描POS一体机页面生成的二维码完成付款。（注：京东部分POS机暂不支持此功能，请以实际情况为准）（2）自提柜提货的货到付款订单，用户可通过京东APP客户端、京东金融APP客户端以及有扫一扫功能的APP，扫描自提柜液晶屏上的二维码完成付款。（3）电脑端下单的在线支付订单，用户可通过京东APP客户端、京东金融APP客户端以及有扫一扫功能的APP，扫描电脑端支付页面生成的二维码完成付款。2、扫条形码支付：货到付款订单，用户可通过京东金融APP客户端扫描京东快递包裹上的长方形条形码完成付款。（注：京东APP客户端【扫啊扫】暂不支持此功能）2017-07-05
购物指南,用户协议,京喜平台用户授权须知,"亲爱的用户：您即将使用京喜（www.jingxi.com）,为方便您使用京喜所提供的服务，在京喜购买商品，您在此确认并同意：您将使用京东（www.jd.com）的用户名及密码登录京喜网站；如您尚未注册京东账户，您在注册京喜账户时，将同时注册京东账户。京喜网站和京东网站完全独立，分别归属于不同的法律实体，各自独立经营。请您注意，您登录京喜、使用京喜所提供的服务或在京喜购买商品等行为均视为您已阅读并同意《京喜用户注册协议》及《京喜隐私政策》（包括京喜已经发布或将来可能发布的各类规则）的约束。"
支付问题,在线支付,如何使用网银支付？,进入收银台选择银行卡支付，点击使用新银行卡在银行卡选择区域内点击网银支付页签，并选择所需银行注：此步骤可更换或新增名下银行卡信息。
特色服务,自营放心购,什么是极售后服务？（自营商品）,"购买京东自营商品自签收之日起15日内提交退换货申请,自申请提交成功之时起,京东会在48小时内完成客户售后问题的处理。温馨提示：此服务仅针对部分区域指定商品，具体以提交退换货服务单申请成功时的页面标识为准。"
配送方式,配送异常,收到的商品少了-发错了怎么办？,商品少件情况：同个订单购买多个商品可能会分为一个以上包裹发出，可能不会同时送达，建议您耐心等待1-2天，如未收到，请在3天内联系客服，京东自营商品可直接联系京东在线客服，第三方商家商品请联系商家在线客服。发错货情况：京东自营商品：若您确认收到的商品不是您订单中订购的商品，可直接点击“客户服务”下的返修/退换货或商品右侧的申请返修/退换货，出现返修及退换货首页，点击“申请”即可操作换货，提交成功后请耐心等待，由专业的售后工作人员受理您的申请。
购物指南,促销咨询,怎么才算秒杀-抢购成功呢？,"提交订单后价格与秒杀/抢购价格一致、成功付款,则代表您抢购成功。2020-04-30"
账户及会员,账户资产,在哪里查询优惠券？,1.登录京东，进入“我的京东”查看，如下图：2.登陆京东，进入 我的京东->资产中心->我的钱包->优惠券，在此可查看未使用优惠券、已使用优惠券、已过期优惠券。
购物指南,生活旅行,出现退票，改签将如何处理？,拨打京东差旅客服电话400-622-5368根据语音提示选择退票或改签服务。2016-03-10
支付问题,异常情况,为什么支付总是失败？,您好，支付总是失败可以有以下原因：（1） 您的银行卡尚未开通网上银行支付功能，建议您到当地营业厅开通网上银行；（2） 所用银行卡超出该银行支持地域范围，请您更换银行卡试试；（3） 银行卡已过期、作废、挂失或者余额不足等，建议您咨询您的开户行；（4） 银行系统数据传输可能出现异常，建议您刷新页面或者稍后重启电脑；（5） 部分银行设置有支付金额限制，如限制支付金额不能操作1500，超过1500的订单则无法支付成功，您可以联系发卡银行详细了解。
订单百事通,修改订单,什么是有货先发？,订单有货先发是指一个订单中存在两种或两种以上不同的商品时，部分商品因无货/缺货需要将有货的商品进行优先配送而进行订单拆分的操作。2015-02-03
支付问题,在线支付,找不到支持的银行怎么办？,如果您在银行卡支付方式内找不到可以使用的银行，可以在结算页选择银联在线支付（如下图），银联在线支持全国各地市城镇银行以及农村信用社。2016-01-26
支付问题,在线支付,支持哪些支付方式组合？,目前收银台支持快捷银行卡与白条、小金库、钱包余额、钢镚组合支付；白条、小金库、钱包余额、钢镚之间可互相组合；银行卡不能与银行卡组合支付。2019-12-10
售后服务,售后商品返回,京东自营商品售后返回京东方式及费用标准,适用范围：自营商品，由京东发货且由京东/店铺/供应商提供售后服务；商品返回京东方式分为“上门取件”和“快递至京东”两种，收取费用标准如下：（1）上门取件商品通过上门取件方式返回京东时，上门取件费用请查看 《京东自营上门取件收费标准及收费方式》，您也可以在提交售后服务单时查看。备注：退货收取上门取件费用时，将从退款中直接扣减取件费用。（2）快递至京东商品通过快递方式返回京东时，如京东承担运费，商品寄回时需要您先垫付运费，售后服务完成后，将按照《退换货逆向运费补偿标准》，以京东余额/京豆/优惠券方式进行返还（该标准仅适用于收货地址在中国大陆区域的，暂不包含港澳台区域）。备注：如果您购买了《退换无忧服务》，则按照退换无忧服务规则收取售后运费。2020年7月30日
订单百事通,提交订单,为什么我的订单总是无法提交成功？,可能存在以下几种情况：1、订单信息填写不完整；2、订单商品库存不足或者库存无货；3、订单商品不能配送到您所填写的收货地址；4、网络延时；以上各种情况都会在页面中弹出提示信息，可以通过修改订单信息（提示信息）或者稍后再试，即可成功提交订单。
特色服务,以旧换新,以旧换新交易流程,以旧换新交易流程如下：①选择回收物品→②估价→③选择回收款兑换方式→④选择交易方式→⑤质检评估→⑥确认成交价→⑦完成交易→⑧购买新品（一）选择回收物品用户可通过以旧换新http://huishou.jd.com/home.html选择回收物品并选择相应的参数，例如：1.成色2.来源3.拆修情况4.屏幕情况5.功能性问题等用户填写的回收物品参数信息应准确、真实、有效，否则可能因为物品参数信息错误导致最终成交价格低于评估价格。（二）估价估价是回收服务商根据用户提供的参数做出的预估价格，并非最终成交价格。鉴于电子产品价格的特殊性，回收服务商会定期调整价格，物品估价应以系统订单中的预估价格为准。（三）选择回收款兑换方式目前支持的回收款兑换方式为：京东E卡或发放至京东小金库或京东账户中绑定的银行卡。在完成旧机回收交易后，回收服务商将最终回收旧机成交金额兑换成京东E卡、或以现金形式发放到用户京东小金库账户或京东账户中绑定的银行卡。  （四）选择交易方式回收目前支持三种交易方式：快递邮寄（京东物流上门取件、委托其他快递邮寄）、门店交易和上门交易。因回收物品特性以及回收商上门范围的影响，用户可选的交易方式以以旧换新订单结算页提示为准。1、快递邮寄（京东物流上门取件、委托其他快递邮寄）交易流程：（1）选择回收物品（2）估价（3）选择回收款兑换方式（4）选择交易方式-邮寄旧机。快递费用及取消交易退回费用标准：回收服务商快递邮寄地址快递邮寄方式用户发货的运费取消交易退回运费爱回收上海市宝山区纪蕴路588号1号楼6楼 唐生收顺丰快递货到付款爱回收承担爱回收承担其他快递垫付邮费，不接受货到付款先由用户承担，交易成功运费+回收款计入订单总额；交易失败将以双方协商一致的支付方式返还用户用户在物品回收最终成交前，可以随时取消订单。但如果交易成功，将无法取消交易或更改付款方式。用户取消订单后，爱回收会与用户联系确认退回物品，并承担所有的快递费用。山寨机、高仿机、黑机（人为修改IMEI号的机器）、处于“丢失模式”的机器，所有无法开机/无法进入桌面/自动关机重启/有开机密码或账户密码无法退出（如iCloud、Flyme等），以及其他无法回收的机器（如机器短期内有过回收交易记录等），退回运费由用户承担。使用EMS平邮运费、保价费、包装费，此部分费用由用户自理。若用户选择货到付款的发货方式，笔记本、无人机运费爱回收最高承担40元；其它物品如手机、平板等运费爱回收最高承担25元。用户支付运费的，爱回收最高承担12元。保价费、包装费、超出爱回收最高承担运费部分需用户承担。翼锋网北京市海淀区中关村南大街11号百花苑科技楼A座203室 李先生收顺丰快递货到付款翼锋网承担翼锋网承担其他快递垫付邮费，不接受货到付款先由用户承担，交易成功运费+回收款计入订单总额；交易取消、失败翼锋网不承担用户发货运费若物品为山寨机、高仿机；或型号、数量不符，用户发货运费、退回运费均由用户自理。使用EMS平邮运费、保价费、包装费，此部分费用由用户自理。除顺丰货到付款外其他快递费用垫付：显示器最高承担50元发货运费，台式机最高承担100元发货运费，内存、CPU、MP3/MP4、智能硬件类物品最高承担20元运费。2、上门交易流程：（1）选择回收物品（2）估价（3）选择回收款兑换方式（4）选择交易方式-上门交易：客服确认上门时间和地点。 上门费用及取消交易费用标准： 回收服务商上门范围上门费用取消交易费用爱回收北京、上海、广州、深圳、成都，重庆，苏州，杭州，天津，南京，佛山，东莞、无锡、济南、武汉、中山免费免费翼锋网北京、上海、广州、深圳、合肥部分城区（台式机和显示器的回收支持上门回收服务；其它品类不支持上门回收服务）免费免费有闲有品北京、上海、广州、深圳、南京、苏州、杭州、天津、福州、成都、重庆、武汉、徐州、常州、宁波、青岛、郑州、石家庄、济南、西安、长沙、太原、南昌、武汉、泉州、厦门、哈尔滨、贵阳、无锡、桂林部分城区免费免费l     上门范围以订单结算页提示为准3、门店交易流程：（1）选择回收物品（2）估价（3）选择回收款兑换方式（4）选择交易方式-门店交易。门店交易及取消交易费用标准：回收服务商支持门店交易城市门店交易费用取消交易费用爱回收北京、上海、广州、深圳、成都，重庆，苏州，杭州，天津，南京，佛山，东莞、无锡、济南、武汉、中山免费免费（五）质检评估回收服务商在收到物品后会根据用户之前选择的物品参数进行核对以及检测。根据物品的实际情况，与用户协商确认最终成交价格。（六）确认成交价确认成交价目前分为三种交易方式：快递邮寄（京东物流上门取件、委托其他快递邮寄）、上门交易和门店交易1、快递邮寄（京东物流上门取件、委托其他快递邮寄）：（1）质检结果与用户描述一致如质检结果与用户描述的结果一致，回收服务商不会联系用户，将直接按照订单所选的收款方式发放至相应账户内。请用户留意，用户提交订单即代表用户对回收服务商提供的估价认可；（2）质检结果与用户描述不一致如质检结果与用户描述的结果不同，回收服务商会将质检结果告知用户，根据物品检测的实际情况，核算最终成交价格与用户进行确认（或用户在个人中心内自行确认）。如果用户同意最后确认结果及价格，回收服务商将按正常流程将对应的款项发放至相应账户内。如果用户与回收服务商就物品的最终成交价格无法协商一致的，用户可以取消本次交易，取消交易费用请见《快递费用及取消交易退回费用标准》。2、上门交易（1）质检结果与用户描述一致上门交易由用户线上填写基本信息，回收服务商上门质检工程师会当面给出用户质检结果，若用户同意交易，则可以立即完成交易。完成交易后按照正常流程发放对应款项至相应账户内。（2）质检结果与用户描述不一致如质检结果与用户描述的结果不同，或者用户对回收价格不满意，或者有其他问题需要取消交易，取消订单费用详见《上门费用及取消交易费用标准》。3、门店交易（1）质检结果与用户描述一致由用户线上填写基本信息，前往门店进行交易，门店店员将直接发放对应款项至相应账户内。请用户留意，用户提交订单即代表用户对回收服务商提供的估价认可；（2）质检结果与用户描述不一致如质检结果与用户描述的结果不同，或者用户对回收价格不满意，或者有其他问题需要取消交易，可在交易完成之前和店员直接沟通取消交易。（七）完成交易回收服务商与用户确认物品的最终成交价格后（或用户自行确认后），会在2小时内发放对应款项至相应账户内（银行卡收款到账时间以各银行为准），并向用户发送通知短信。回收服务商确认最终成交价格后付款，订单即交易完成。完成交易后的订单将无法修改或取消。（八）购买新品用户可以在京东平台购买指定商品时，通过订单结算页使用京东E卡或京东钱包现金以抵扣一部分商品金额。1、京东E卡使用说明：详见此链接下方的帮助服务中心：http://giftcard.jd.com/market/index.action2、京东钱包现金使用说明：结算金额将支付至您京东钱包余额中，您可进行免费提现及投资理财等。可通过【京东钱包-我的京东钱包】进行查看。2019-11-08
支付问题,在线支付,“京东支付”是什么？,京东支付包括京东白条、京东小金库、钱包余额、钢镚等支付工具。如果您选择快捷卡支付时，如果账户已经实名认证，当前选择的是本人银行卡，且该卡在网银渠道已经签约，则可以使用支付密码完成支付，不需要再通过短信验证（可以通过支付密码直接支付的银行卡，页面有“密码”标示）。注：
购物指南,生活旅行,阳光人寿附加交通工具医疗保险条款,阳光人寿[2013]医疗保险058号请扫描以查询验证条款 阳光人寿保险股份有限公司阳光人寿附加交通工具医疗保险条款CTMA-1 条款目录
售后服务,售后退款说明,拒收订单以后，使用的京豆-优惠券-京东E卡什么时候能退回呢？,使用全品类京券、限品类京券、店铺京券、平台专享京券提交的订单，若订单未拆分，则订单取消后，系统自动返还相应的京券；若订单被拆分，取消全部子单，系统自动返还限品类京券、店铺类京券，平台专享类京券不返还，全品类京券则由系统判断，返还等值京豆；使用全品类东券、限品类东券、店铺东券、平台专享类东券提交的订单，若订单未拆分，则订单取消后，系统自动返还相应的东券；若订单被拆分，取消全部子单，系统自动返还相应的东券；注：如果是促销活动领取的优惠券，订单取消后优惠券是否退回，请以具体活动规则为准；或联系客服帮您处理。以下为订单退款返还期限：2020-01-22
